time_s,goal_steer_deg,curr_steer_deg
1746813553.716,-629.340,-629.340
1746813553.818,-629.340,-629.340
1746813553.918,-629.340,-629.340
1746813554.019,-629.340,-629.340
1746813554.117,-629.340,-629.340
1746813554.216,-629.340,-629.340
1746813554.317,-629.340,-629.340
1746813554.416,-629.340,-629.340
1746813554.517,-629.340,-629.340
1746813554.617,-629.340,-629.340
1746813554.717,-629.340,-629.340
1746813554.817,-629.340,-629.340
1746813554.918,-629.340,-629.340
1746813555.017,-629.340,-629.340
1746813555.116,-629.340,-629.340
1746813555.217,-629.340,-629.340
1746813555.316,-629.340,-629.340
1746813555.416,-629.340,-629.340
1746813555.516,-629.340,-629.340
1746813555.616,-629.340,-629.340
1746813555.716,-629.340,-629.340
1746813555.819,-568.080,-629.340
1746813555.937,-568.080,-568.080
1746813556.016,-568.080,-568.080
1746813556.116,-537.010,-568.080
1746813556.216,-537.010,-537.010
1746813556.317,-537.010,-537.010
1746813556.416,-537.010,-537.010
1746813556.516,-420.190,-537.010
1746813556.616,-420.190,-420.190
1746813556.716,-420.190,-420.190
1746813556.816,-420.190,-420.190
1746813556.916,-224.530,-420.190
1746813557.016,-224.530,-224.530
1746813557.116,-224.530,-224.530
1746813557.217,-224.530,-224.530
1746813557.317,-224.530,-224.530
1746813557.424,-210.840,-224.530
1746813557.516,-210.840,-210.840
1746813557.617,-210.840,-210.840
1746813557.717,-124.110,-210.840
1746813557.816,252.310,-124.110
1746813557.917,253.700,252.310
1746813558.016,253.980,253.700
1746813558.116,-254.710,253.980
1746813558.216,-256.110,-254.710
1746813558.317,-256.360,-256.110
1746813558.416,-256.360,-256.360
1746813558.517,-301.090,-256.360
1746813558.616,-301.090,-301.090
1746813558.717,-301.090,-301.090
1746813558.817,-507.220,-301.090
1746813558.917,-507.220,-507.220
1746813559.017,-507.220,-507.220
1746813559.116,-501.610,-507.220
1746813559.216,-501.610,-501.610
1746813559.316,-501.610,-501.610
1746813559.416,-501.610,-501.610
1746813559.517,-533.310,-501.610
1746813559.616,-533.310,-533.310
1746813559.716,-533.310,-533.310
1746813559.816,-533.310,-533.310
1746813559.916,-516.760,-533.310
1746813560.016,-516.760,-516.760
1746813560.116,-516.760,-516.760
1746813560.216,-516.760,-516.760
1746813560.317,-523.370,-516.760
1746813560.417,-523.370,-523.370
1746813560.517,-523.370,-523.370
1746813560.616,-523.370,-523.370
1746813560.717,-565.000,-523.370
1746813560.824,-565.000,-565.000
1746813560.916,-565.000,-565.000
1746813561.016,-629.340,-565.000
1746813561.117,-629.340,-629.340
1746813561.216,-629.340,-629.340
1746813561.317,-572.520,-629.340
1746813561.431,-572.520,-572.520
1746813561.517,-572.520,-572.520
1746813561.616,-629.340,-572.520
1746813561.717,-629.340,-629.340
1746813561.816,-629.340,-629.340
1746813561.917,-629.340,-629.340
1746813562.016,-629.340,-629.340
1746813562.126,-629.340,-629.340
1746813562.217,-629.340,-629.340
1746813562.316,-629.340,-629.340
1746813562.417,-629.340,-629.340
1746813562.516,-629.340,-629.340
